title,year,duration,genres,rating,votes,director,stars
Sherlock Jr.,1924-05-11,PT45M,"Acción, Comedia, Romance",8.1,65478,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton"
Mary and Max.,2017-05-10,PT1H32M,"Animación, Comedia, Drama",8.1,201266,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
The Deer Hunter,1979-03-19,PT3H3M,"Drama, Bélico",8.1,386141,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale"
Le salaire de la peur,1953-04-22,PT2H36M,"Aventura, Drama, Suspense",8.1,73348,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck"
The General,1927-01-02,PT1H18M,"Acción, Aventura, Comedia",8.1,106016,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender"
Logan,2017-03-03,PT2H17M,"Acción, Drama, Ciencia ficción",8.1,922703,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen"
Rocky,1977-05-23,PT2H,"Drama, Deporte",8.1,686399,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young"
Mr. Smith Goes to Washington,1939-10-19,PT2H9M,"Comedia, Drama",8.1,129259,Frank Capra,"James Stewart, Jean Arthur, Claude Rains"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-14,PT2H23M,"Acción, Aventura, Fantasía",8.1,1320405,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom"
Tôkyô monogatari,2003-11-21,PT2H17M,Drama,8.1,77394,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
On the Waterfront,1954-06-22,PT1H48M,"Crimen, Drama, Suspense",8.1,177449,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb"
Koe no katachi,2018-03-16,PT2H10M,"Animación, Drama",8.2,139980,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki"
La haine,1996-01-30,PT1H38M,"Crimen, Drama",8.1,225254,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
Spotlight,2016-01-29,PT2H9M,"Biografía, Crimen, Drama",8.1,534036,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
Smultronstället,1963-02-07,PT1H32M,"Drama, Romance",8.1,124298,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
The Terminator,1985-01-18,PT1H47M,"Acción, Aventura, Ciencia ficción",8.1,1001304,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
The Sound of Music,1965-04-01,PT2H54M,"Biografía, Drama, Familiar",8.1,290727,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker"
Jai Bhim,2021-11-02,PT2H44M,"Crimen, Drama",8.6,233744,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
Maharaja,2024-06-14,PT2H21M,"Acción, Crimen, Drama",8.3,81057,"R. Nandhakumar, Nithilan Saminathan, T. Suresh","Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
The Third Man,1950-04-08,PT1H44M,"Drama, Cine negro, Misterio",8.1,195016,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli"
The Big Lebowski,1998-04-24,PT1H57M,"Comedia, Crimen",8.1,915041,"Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore"
Gekijô-ban Chensô Man Reze-hen,2025-10-24,PT1H40M,"Animación, Acción, Aventura",8.3,51753,Tatsuya Yoshihara,"Kikunosuke Toya, Shiori Izawa, Tomori Kusunoki"
The Best Years of Our Lives,1947-05-29,PT2H50M,"Drama, Romance, Bélico",8.1,77295,William Wyler,"Myrna Loy, Dana Andrews, Fredric March"
Before Sunset,2004-10-08,PT1H20M,"Drama, Romance",8.1,313932,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
Det sjunde inseglet,1991-07-17,PT1H36M,"Drama, Fantasía",8.1,215667,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
Room,2016-02-26,PT1H58M,"Drama, Suspense",8.1,479257,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers"
Hotel Rwanda,2005-02-25,PT2H1M,"Biografía, Drama, Historia",8.1,391368,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
The Incredibles,2004-11-26,PT1H55M,"Animación, Acción, Aventura",8,897359,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
Platoon,1987-03-26,PT2H,"Drama, Bélico",8.1,471712,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe"
Hachi: A Dog&apos;s Tale,2009-11-06,PT1H33M,"Biografía, Drama, Familiar",8.1,341775,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
The Exorcist,1975-09-01,PT2H2M,Terror,8.1,497388,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair"
Rush,2013-09-20,PT2H3M,"Biografía, Drama, Deporte",8.1,557366,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
The Iron Giant,1999-12-17,PT1H26M,"Animación, Acción, Aventura",8.1,259158,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
The Wizard of Oz,1939-08-25,PT1H42M,"Aventura, Familiar, Fantasía",8.1,466436,"Victor Fleming, George Cukor, Norman Taurog","Judy Garland, Frank Morgan, Ray Bolger"
Stand by Me,1987-08-03,PT1H29M,"Aventura, Drama",8.1,486124,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman"
La passion de Jeanne d&apos;Arc,1928-10-25,PT1H50M,"Biografía, Drama, Historia",8.1,67990,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley"
Babam ve Oglum,2005-11-18,PT1H52M,"Drama, Familiar",8.2,100519,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
La battaglia di Algeri,1978-06-01,PT2H1M,"Drama, Bélico",8.1,75405,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi"
Ah-ga-ssi,2016-12-02,PT2H25M,"Drama, Romance, Suspense",8.1,201989,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
Network,1977-05-16,PT2H1M,Drama,8.1,186097,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch"
Drishyam,2015-07-31,PT2H43M,"Crimen, Drama, Misterio",8.2,108382,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu"
Yedinci Kogustaki Mucize,2020-03-13,PT2H12M,Drama,8.2,62284,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal"
