title,year,duration,genres,rating,votes,director,stars
Kimi no na wa.,2017-04-07,PT1H46M,"Animación, Drama, Fantasía",8.4,389661,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
Project Hail Mary,2026-03-27,PT2H36M,"Aventura, Comedia, Ciencia ficción",8.4,168019,"Phil Lord, Christopher Miller","Ryan Gosling, Sandra Hüller, James Ortiz"
Das Boot,1982-06-15,PT2H29M,"Drama, Bélico",8.3,287344,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
Oldeuboi,2005-01-28,PT2H,"Acción, Drama, Misterio",8.3,715490,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
Braveheart,1995-09-29,PT2H58M,"Biografía, Drama, Bélico",8.3,1158426,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
Mononoke-hime,2000-04-07,PT2H13M,"Animación, Aventura, Fantasía",8.3,481953,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1966-01-10,PT1H35M,"Comedia, Bélico",8.3,550494,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden"
3 Idiots,2009-11-09,PT2H50M,"Comedia, Drama",8.4,480373,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh"
American Beauty,2000-01-28,PT2H2M,Drama,8.3,1277497,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch"
Capharnaüm,2019-02-15,PT2H6M,Drama,8.4,123613,Nadine Labaki,"Zain Al Rafeea, Yordanos Shifera, Boluwatife Treasure Bankole"
Singin&apos; in the Rain,1953-04-04,PT1H43M,"Comedia, Musical, Romance",8.3,281823,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O&apos;Connor, Debbie Reynolds"
Joker,2019-10-04,PT2H2M,"Crimen, Drama, Suspense",8.3,1686242,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
C&apos;era una volta in America,1985-01-24,PT3H49M,"Crimen, Drama",8.3,407837,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern"
Idi i smotri,1986-05-13,PT2H22M,"Drama, Suspense, Bélico",8.3,121989,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
Star Wars: Episode VI - Return of the Jedi,1983-11-21,PT2H11M,"Acción, Aventura, Fantasía",8.3,1205885,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher"
Requiem for a Dream,2001-03-23,PT1H42M,Drama,8.3,970766,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
Toy Story 3,2010-07-23,PT1H43M,"Animación, Aventura, Comedia",8.3,966749,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack"
Ikiru,1952-10-09,PT2H23M,Drama,8.3,101890,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin&apos;ichi Himori"
Jagten,2013-04-19,PT1H55M,Drama,8.3,407687,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
Incendies,2011-03-11,PT2H11M,"Drama, Misterio, Bélico",8.3,249106,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
Eternal Sunshine of the Spotless Mind,2004-09-24,PT1H48M,"Drama, Romance, Ciencia ficción",8.3,1179541,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson"
The Apartment,1960-06-29,PT2H5M,"Comedia, Drama, Romance",8.3,218635,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray"
Lawrence of Arabia,1963-10-01,PT3H47M,"Aventura, Biografía, Drama",8.3,341163,David Lean,"Peter O&apos;Toole, Alec Guinness, Anthony Quinn"
Heat,1996-02-09,PT2H50M,"Acción, Crimen, Drama",8.3,799996,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
Scarface,1984-03-12,PT2H50M,"Crimen, Drama",8.3,1011753,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer"
2001: A Space Odyssey,1968-10-17,PT2H29M,"Aventura, Ciencia ficción",8.3,780920,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester"
Reservoir Dogs,1992-10-23,PT1H39M,"Crimen, Suspense",8.3,1167851,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen"
Up,2009-07-30,PT1H36M,"Animación, Aventura, Comedia",8.3,1231483,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger"
Double Indemnity,1944-07-06,PT1H47M,"Crimen, Drama, Cine negro",8.3,180868,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
North by Northwest,1959-12-18,PT2H16M,"Aventura, Drama, Misterio",8.3,369082,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason"
Taare Zameen Par,2007-12-21,PT2H42M,"Drama, Familiar",8.3,231343,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra"
Full Metal Jacket,1987-07-10,PT1H56M,"Drama, Bélico",8.2,849077,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D&apos;Onofrio"
M - Eine Stadt sucht einen Mörder,1931-11-24,PT1H57M,"Crimen, Misterio, Suspense",8.3,182448,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut"
Le fabuleux destin d&apos;Amélie Poulain,2001-10-19,PT2H2M,"Comedia, Romance",8.3,838219,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus"
Vertigo,1958-05-28,PT2H8M,"Misterio, Romance, Suspense",8.2,458419,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes"
Citizen Kane,1941-09-05,PT1H59M,"Drama, Misterio",8.2,492864,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore"
Jodaeiye Nader az Simin,2011-10-07,PT2H3M,Drama,8.3,277167,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat"
Die Hard,1988-09-30,PT2H12M,"Acción, Suspense",8.2,1027638,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia"
To Kill a Mockingbird,1964-04-16,PT2H9M,"Crimen, Drama",8.2,351133,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton"
Indiana Jones and the Last Crusade,1989-09-01,PT2H7M,"Acción, Aventura",8.2,861820,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody"
The Sting,1974-04-14,PT2H9M,"Comedia, Crimen, Drama",8.2,299779,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw"
A Clockwork Orange,1975-06-16,PT2H16M,"Crimen, Ciencia ficción",8.2,934862,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates"
Metropolis,1927-02-06,PT2H33M,"Drama, Ciencia ficción",8.2,200736,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
1917,2020-01-10,PT1H59M,"Acción, Drama, Bélico",8.2,768048,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays"
Snatch,2000-11-03,PT1H44M,"Comedia, Crimen",8.2,974732,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham"
The Wolf of Wall Street,2014-01-17,PT3H,"Biografía, Comedia, Crimen",8.2,1778897,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
L.A. Confidential,1997-11-07,PT2H18M,"Crimen, Drama, Misterio",8.2,657752,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce"
Der Untergang,2005-02-18,PT2H36M,"Biografía, Drama, Historia",8.2,399570,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
Dangal,2016-12-21,PT2H41M,"Acción, Biografía, Drama",8.3,241825,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
The Truman Show,1998-10-30,PT1H43M,"Comedia, Drama",8.2,1365856,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney"
Ladri di biciclette,1948-11-24,PT1H29M,Drama,8.2,192265,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
Green Book,2019-02-01,PT2H10M,"Biografía, Comedia, Drama",8.2,680846,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
Oppenheimer,2023-07-20,PT3H,"Biografía, Drama, Historia",8.2,1018942,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon"
Shutter Island,2010-02-19,PT2H18M,"Drama, Misterio, Suspense",8.2,1638343,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
Judgment at Nuremberg,1961-12-18,PT2H59M,"Drama, Historia, Bélico",8.3,96729,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark"
Batman Begins,2005-06-17,PT2H20M,"Acción, Crimen, Drama",8.2,1708119,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe"
Hamilton,2020-07-03,PT2H40M,"Biografía, Drama, Historia",8.3,138483,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
Per qualche dollaro in più,1965-12-18,PT2H12M,"Drama, Del oeste",8.2,299457,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
Jurassic Park,1993-09-30,PT2H7M,"Acción, Aventura, Ciencia ficción",8.2,1173093,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
Taxi Driver,1977-03-10,PT1H54M,"Crimen, Drama",8.2,1022800,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd"
I Swear,2026-04-10,PT2H,"Biografía, Drama",8.4,34299,Kirk Jones,"Robert Aramayo, Maxine Peake, Somerled Campbell"
Some Like It Hot,1959-03-19,PT2H1M,"Comedia, Música, Romance",8.2,304176,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon"
There Will Be Blood,2008-02-15,PT2H38M,Drama,8.2,705905,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
The Father,2020-12-23,PT1H37M,"Drama, Misterio",8.2,243256,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
The Kid,1921-02-06,PT1H8M,"Comedia, Drama, Familiar",8.2,145339,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan"
All About Eve,1950-10-27,PT2H18M,Drama,8.2,148921,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
The Sixth Sense,2000-01-14,PT1H47M,"Drama, Misterio, Suspense",8.2,1140907,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
Ran,1986-01-17,PT2H40M,"Acción, Drama, Bélico",8.2,151471,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
Casino,1996-02-23,PT2H58M,"Crimen, Drama",8.2,617309,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
No Country for Old Men,2008-02-08,PT2H2M,"Crimen, Drama, Suspense",8.2,1184480,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin"
The Thing,1983-06-10,PT1H49M,"Terror, Misterio, Ciencia ficción",8.2,524435,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David"
Prisoners,2013-10-11,PT2H33M,"Crimen, Drama, Misterio",8.2,930056,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
Top Gun: Maverick,2022-05-26,PT2H10M,"Acción, Drama",8.2,853701,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
Kill Bill: Vol. 1,2004-03-05,PT1H51M,"Acción, Crimen, Suspense",8.2,1302732,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
El laberinto del fauno,2006-10-11,PT1H58M,"Drama, Fantasía, Bélico",8.2,745326,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
Unforgiven,1992-09-25,PT2H10M,"Drama, Del oeste",8.2,467733,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman"
Shingeki no Kyojin: The Last Attack,2025-02-13,PT2H25M,"Animación, Acción, Aventura",9.2,26166,Yûichirô Hayashi,"Tomás Ábalo, Natsuki Hanae, Yoshimasa Hosoya"
A Beautiful Mind,2002-02-22,PT2H15M,"Biografía, Drama, Misterio",8.2,1051170,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly"
The Treasure of the Sierra Madre,1948-01-24,PT2H6M,"Aventura, Drama, Del oeste",8.2,141174,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
Hauru no ugoku shiro,2006-03-03,PT1H59M,"Animación, Aventura, Familiar",8.2,509872,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
Finding Nemo,2003-11-28,PT1H40M,"Animación, Aventura, Comedia",8.2,1203858,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould"
Klaus,2019-11-15,PT1H36M,"Animación, Aventura, Comedia",8.2,235471,"Carlos Martínez López, Sergio Pablos","Jason Schwartzman, J.K. Simmons, Rashida Jones"
Yôjinbô,1961-04-25,PT1H50M,"Acción, Drama, Suspense",8.2,142694,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
The Great Escape,1963-11-11,PT2H52M,"Aventura, Drama, Suspense",8.2,276994,John Sturges,"Steve McQueen, James Garner, Richard Attenborough"
The Elephant Man,1980-10-10,PT2H4M,"Biografía, Drama",8.2,281732,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft"
Monty Python and the Holy Grail,1975-06-27,PT1H31M,"Aventura, Comedia, Fantasía",8.2,602441,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle"
Dial M for Murder,1954-05-29,PT1H45M,"Crimen, Drama, Misterio",8.1,204233,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings"
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,2025-09-12,PT2H35M,"Animación, Acción, Aventura",8.4,68507,"Hikaru Kondô, Haruo Sotozaki","Zach Aguilar, Saeko Akiho, Yôhei Azakami"
La meglio gioventù,2004-06-18,PT6H14M,"Drama, Romance",8.4,27935,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
El secreto de sus ojos,2009-09-25,PT2H9M,"Drama, Misterio, Romance",8.2,241517,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
Gone with the Wind,1940-01-17,PT3H58M,"Drama, Romance, Bélico",8.2,355864,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
"Lock, Stock and Two Smoking Barrels",1999-04-09,PT1H47M,"Comedia, Crimen",8.1,649112,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran"
